Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
LibraryCall,execute_dag_5_tasks,856,0,76,105.7737217113788,11.349435022566468,480.96990401973017,0.0,29.2548225662534,0.0,78,130,160,180,250,310,380,410,480,480,480
LibraryCall,execute_single_task,2621,0,12,24.354625113183797,2.403774007689208,179.75578299956396,0.0,89.57580601185767,0.0,12,26,37,43,61,78,110,120,170,180,180
,Aggregated,3477,0,18,44.39913091935433,2.403774007689208,480.96990401973017,0.0,118.83062857811106,0.0,18,38,51,63,120,180,270,340,470,480,480
